SERIAL_NO,DEVICE_ID,PRODUCT_FAMILY,MODEL_NAME,PART_NUMBER,DEVICE_CAPACITY,COLOR,PURCHASE_SOURCE,ORDER_NUMBER,DATE_ADDED_TO_ORGANIZATION,DATE_REMOVED_FROM_ORGANIZATION,MDM_SERVER,DATE_ASSIGNED_TO_MDM_SERVER
H2WDP18VQ6NY,H2WDP18VQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1011977261,2020-11-16T05:25:47Z,,Meraki,2020-11-16T05:25:47Z
H2WDP193Q6NY,H2WDP193Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1011977261,2020-11-16T04:29:30Z,,Kandji,2023-10-30T08:56:03Z
H2WDV0AEQ6NY,H2WDV0AEQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1012190801,2020-12-11T17:03:57Z,,Kandji,2023-10-30T08:56:03Z
H2WFC3J3Q6NV,H2WFC3J3Q6NV,Mac,Mac mini,MGNR3LL/A,256GB,SILVER,Apple (1166840),1014133691,2021-03-13T15:28:47Z,,Kandji,2023-10-30T08:56:03Z
H2WG4090Q6NY,H2WG4090Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1014871319,2021-07-21T03:54:32Z,,Kandji,2023-10-30T08:56:03Z
H2WG4093Q6NY,H2WG4093Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1014871319,2021-07-21T03:51:03Z,,Kandji,2023-10-30T08:56:03Z
H2WG40A1Q6NY,H2WG40A1Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1014871319,2021-07-21T03:48:26Z,,Kandji,2023-10-30T08:56:03Z
H2WGQ01SQ6NY,H2WGQ01SQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1015708842,2021-11-17T03:59:43Z,,Kandji,2023-10-30T08:56:03Z
H2WH3492Q6NY,H2WH3492Q6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1016180491,2022-01-19T03:31:53Z,,Kandji,2023-10-30T08:56:03Z
H2WH60AMQ6NY,H2WH60AMQ6NY,Mac,Mac mini,Z12N,256GB,SILVER,Apple (1166840),1016265213,2022-02-07T03:32:26Z,,Meraki,2022-02-07T03:32:26Z
HJXHX373TK,HJXHX373TK,Mac,"MacBook Pro 13""",Z16R,256GB,SPACE GRAY,Apple (1166840),1018285570,2022-12-23T03:22:37Z,,Kandji,2023-10-30T08:56:03Z
JFMVPPV22M,JFMVPPV22M,Mac,MacBook Air,MLXW3LL/A,256GB,SPACE GRAY,Apple (1166840),1017503747,2022-09-06T21:12:21Z,,Kandji,2023-10-30T08:56:03Z
LCWWG3J7L9,LCWWG3J7L9,Mac,MacBook Air,Z160,256GB,MIDNIGHT,Apple (1166840),1017779464,2022-10-05T05:34:42Z,,Kandji,2023-10-30T08:56:03Z
NMHPX747LP,NMHPX747LP,Mac,"MacBook Pro 13""",Z16R,256GB,SPACE GRAY,Apple (1166840),1018519759,2023-02-10T03:24:53Z,,Kandji,2023-10-30T08:56:03Z
R179JK7FC7,R179JK7FC7,Mac,MacBook Air,MLY33LL/A,256GB,MIDNIGHT,Apple (1166840),AAA1325580,2024-01-05T14:29:51Z,,Kandji,2024-01-09T14:59:03Z
W432RWD9C4,W432RWD9C4,Mac,MacBook Air,Z160,256GB,MIDNIGHT,Apple (1166840),1017779464,2022-10-04T09:16:41Z,,Kandji,2023-10-30T08:56:03Z
XGHDWFK3XC,XGHDWFK3XC,Mac,"MacBook Pro 14""",Z15G,1TB,SPACE GRAY,Apple (1166840),1015896403,2021-12-17T03:46:31Z,,Kandji,2023-10-30T08:56:03Z
CR9RHXYTXP,CR9RHXYTXP,Mac,"MacBook Pro 14""",MKGP3LL/A,512GB,SPACE GRAY,Apple (1445525),1015844825,2022-05-02T14:09:17Z,,Kandji,2022-10-11T09:54:34Z
DKLQP024R0,DKLQP024R0,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1445525),AAA0034840,2023-05-10T12:16:17Z,,Kandji,2023-05-10T12:16:17Z
FVFGT1YWQ6LR,FVFGT1YWQ6LR,Mac,MacBook Air,Z124,512GB,SPACE GRAY,Apple (1445525),1015844825,2022-05-02T14:09:17Z,,Kandji,2022-10-11T09:54:34Z
FVFGX0VMQ6LR,FVFGX0VMQ6LR,Mac,MacBook Air,Z124,512GB,SPACE GRAY,Apple (1445525),1016033324,2022-05-02T14:09:18Z,,Kandji,2022-10-11T09:54:34Z
FVFGX1HWQ6LR,FVFGX1HWQ6LR,Mac,MacBook Air,Z124,512GB,SPACE GRAY,Apple (1445525),1016033324,2022-05-02T14:09:15Z,,Kandji,2022-10-11T09:54:34Z
JWLXC0WCDQ,JWLXC0WCDQ,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1445525),1018771140,2023-03-21T23:10:59Z,,Kandji,2023-03-21T23:10:59Z
LR67973X2W,LR67973X2W,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1445525),1018918569,2023-04-19T17:00:26Z,,Kandji,2023-04-19T17:00:26Z
M146VJQDFJ,M146VJQDFJ,Mac,"MacBook Pro (14-inch, Nov 2023)",Z1C8,512GB,SPACE GRAY,Apple (1445525),AAA1185584,2023-12-11T04:24:28Z,,Kandji,2023-12-11T04:24:28Z
T4J2LJQ0D4,T4J2LJQ0D4,Mac,"MacBook Pro (14-inch, 2023)",MPHE3LL/A,512GB,SPACE GRAY,Apple (1445525),1018734119,2023-03-15T11:10:13Z,,Kandji,2023-03-15T11:10:13Z
TXYNWV59V4,TXYNWV59V4,Mac,"MacBook Pro 13""",Z16R,1TB,SPACE GRAY,Apple (1445525),1017619535,2022-09-15T05:36:42Z,,Kandji,2022-10-11T09:54:34Z
